# Cost-value  iter_max
50220645277830.83          38
55138791265160.51          21
55961066201994.66          19
54010881963867.22          25
54010881963867.22          24
50220145394040.77          32
54010881963867.22          25
52508400117283.59          23
55676365340605.11          27
50435499983376.21          38
54010881963867.22          38
54124595105834.94          17
50220145394040.77          39
50292237298629.64          29
50435167076206.95          32
50435313546985.88          26
54010989375756.30          12
55138791265160.51          39
55472408311086.40          33
52873426934967.31          21
50398869585005.99          22
54010881963867.22          22
52508499551727.23          22
54021989490252.06          35
50435176018007.98          28
55472408311086.40          30
50220588921792.37          23
55138791265160.51          22
52873358092126.19          14
50221125116466.88          28
54093709550018.03          35
50435832480841.95          20
50435579156519.92          26
52508400117283.59          34
55138145110117.14          30
54010881963867.22          37
54010881963867.22          30
55712755614742.53          20
54010881963867.22          13
50220588921792.37          21
50435214195271.27          34
50292686603876.91          34
50366711894318.28          40
50366895012140.73          33
59279110572827.50          45
54010881963867.22          21
50366895012140.73          13
50291680025370.38          37
53380122938028.23          30
55672954329604.10          16
55138145110117.14          22
54010881963867.22          26
54010881963867.22          36
55472408311086.40          40
53379879294389.02          22
50292111465319.58          32
50292237298629.64          18
50400134360101.84          22
54010881963867.22          28
50435832480841.95          26
52508400117283.59          30
54093709550018.03          30
52508400117283.59          29
50292675693868.95          18
52508499551727.23          23
50435499983376.21          43
55676380162078.78          16
55955828408185.34          17
55964347729022.27          18
50292237298629.64          18
50292237298629.64          23
52508499551727.23          21
57002361245248.14          29
52873401927426.97          20
50435176018007.98          25
52873401927426.97          26
53379879294389.02          29
54692547287275.07          28
50292042071578.00          36
50291680025370.38          42
54021989490252.06          30
55731604089588.20          14
55472421817830.38          27
52508499551727.23          18
54017518880949.52          23
53379879294389.02          32
52885646969605.97          29
54010881963867.22          25
52508400117283.59          27
57193879256285.16          21
50220588921792.37          44
50219564092141.60          11
53379766940703.95          19
54010881963867.22          55
50219935269293.88          41
54010881963867.22          30
50436628337052.39          20
53379766940703.95          24
54017518880949.52          16
54010881963867.22          24
