# Cost-value  iter_max
91771622303874.09          18
91771622303874.09          22
91772112268299.98          15
91772112268299.98          14
91771622303874.09          16
91771622303874.09          26
91771622303874.09          31
91771622303874.09          24
91771777747941.62          12
91771622303874.09          24
91771622303874.09          25
91771622303874.09          25
91771622303874.09          26
91771622303874.09          20
91772112268299.98          12
91771690424178.12          10
91771622303874.09          32
91771622303874.09          23
91771622303874.09          24
91771690424178.12          18
91771690424178.12          17
91771892979512.66          15
91771690424178.12          14
91771622303874.09          24
91771690424178.12          16
91771622303874.09          25
91771817761886.50          15
91771622303874.09          26
91771690424178.12          11
91771622303874.09          25
91771622303874.09          20
91771643012796.97          12
91771622303874.09          43
91771622303874.09          30
91771690424178.12          14
91771622303874.09          34
91771622303874.09          18
91771622303874.09          26
91771622303874.09          28
91771622303874.09          28
91771622303874.09          29
91771817761886.50          13
91771622303874.09          26
91771622303874.09          22
91771622303874.09          29
91771622303874.09          25
91771817761886.50          13
91771622303874.09          19
91771622303874.09          22
91771622303874.09          21
91771817761886.50          15
91771690424178.12          20
91771622303874.09          27
91771626128582.53          11
91771622303874.09          22
91771866655235.05          13
91771622303874.09          26
91771622303874.09          32
91771622303874.09          24
91771622303874.09          44
91771868595650.61          13
91771622303874.09          27
91771622303874.09          17
91771622303874.09          27
91771788849222.94          13
91771622303874.09          33
91771868595650.61          13
91771817761886.50          14
91771622303874.09          28
91771622303874.09          29
91771622303874.09          28
91771622303874.09          20
91771622303874.09          21
91771690424178.12          14
91772112268299.98          20
91771622303874.09          20
91771622303874.09          27
91771622303874.09          35
91771622303874.09          33
91771622303874.09          21
91771690424178.12          15
91771622303874.09          25
91771671142535.84          17
91771661865070.88          12
91771868595650.61          12
91771622303874.09          27
91771690424178.12          19
91771777747941.62          13
91771622303874.09          28
91771622303874.09          20
91771690424178.12          13
91771622303874.09          38
91771622303874.09          27
91771622303874.09          33
91771622303874.09          23
91771690424178.12          14
91771622303874.09          29
91771622303874.09          22
91771622303874.09          16
91771622303874.09          20
