# Cost-value  iter_max
40757171594866.51          20
36317106946896.72          16
39891112943438.73          26
36150323434720.50          20
43676105246199.55          14
39874507744237.05          33
36778494756428.74          28
36778481002786.45          28
39545309912748.32          39
45989421679149.14          14
36150174697824.67          18
36150240850999.88          29
40779266485950.62          40
36150174697824.67          31
36670721238741.84          47
36051112824084.80          39
36150165388981.56          49
36051268151125.01          26
36048617551128.85          29
39874507744237.05          38
36669660322941.05          39
36778531715115.66          36
36150165388981.56          48
39874507744237.05          27
36778531715115.66          37
36666985480847.60          41
36475824231594.06          13
36669789933329.12          38
43676096630302.71          22
36150240850999.88          36
36048837934660.57          18
40778849141723.33          36
39874507744237.05          35
36051268151125.01          19
36150300637625.02          21
36051158034637.02          30
39875024895442.92          28
43675917047930.66          40
36051268151125.01          35
36150240850999.88          33
39874398243911.02          33
36669660322941.05          40
40778849141723.33          44
39874398243911.02          33
36150300637625.02          33
36150174697824.67          15
36051268151125.01          24
39891593644300.25          30
36670817113694.47          29
36048589584476.06          18
36048617551128.85          18
36048589584476.06          27
36051112824084.80          35
36150165388981.56          41
36150323434720.50          22
36048745594866.59          26
36669660322941.05          40
39891593644300.25          32
36150240850999.88          24
36316842798003.13          23
36150174697824.67          34
36669749463178.72          23
36669660322941.05          47
36048589584476.06          18
39495321506149.09          16
46437098465335.28          22
36150240850999.88          32
36051158034637.02          25
36150191122533.62          20
36778531715115.66          28
36778531715115.66          45
36317106946896.72          22
40757075980624.62          42
39891112943438.73          23
36150240850999.88          31
36778494756428.74          35
36048732275070.02          20
36150240850999.88          40
36778481002786.45          23
39495321506149.09          20
40778849141723.33          33
36150240850999.88          41
36778494756428.74          41
36150553408138.21          12
36051158034637.02          38
36051097911550.19          20
36778531715115.66          27
39891252529305.48          23
36669660322941.05          37
36669660322941.05          35
36778494756428.74          35
36150240850999.88          32
39874507744237.05          37
39874507744237.05          30
43676084323524.95          32
36150105695079.13          14
36048812713341.73          31
36150165388981.56          63
36669789933329.12          37
36666485767568.09          14
