# Cost-value  iter_max
76482848216580.14          20
75054130884814.25          16
75054113455106.05          21
75054113455106.05          23
75054125614975.98          16
75648207265415.72          29
76482848216580.14          29
76482848216580.14          32
75054130884814.25          17
75054146227818.09          18
76482842585716.75          25
75054130884814.25          17
75054113455106.05          30
75648207265415.72          24
75054125614975.98          16
75648207265415.72          25
75647996621832.91          16
75648207265415.72          35
75647996621832.91          17
75648207265415.72          21
75054113455106.05          29
76482842585716.75          19
78328190488493.59          18
76482848216580.14          21
75648207265415.72          23
75647996621832.91          19
76482842585716.75          28
75648207265415.72          26
82478366693572.84          26
75647996621832.91          20
75810501608414.09          12
75810552568924.47          11
75811583804499.36          25
75054113455106.05          24
75647984527824.16          11
75054125614975.98          12
76482842585716.75          29
75054146227818.09          19
76482969383878.12          18
75810501608414.09          14
76482848216580.14          36
76482848216580.14          18
75647996621832.91          24
75054113455106.05          23
76482842585716.75          32
75648207265415.72          26
76482848216580.14          26
75648207265415.72          11
76482848216580.14          30
82478366693572.84          25
75648207265415.72          12
75054146227818.09          21
76482848216580.14          25
75054130884814.25          18
76482848216580.14          22
76482848216580.14          39
75054146227818.09          19
76482842585716.75          19
78323922499082.98           8
76482848216580.14          21
76482848216580.14          29
75054130884814.25          12
75054113455106.05          19
75054113455106.05          24
75647996621832.91          23
75647996621832.91          24
75648207265415.72          23
75054130884814.25          21
75054130884814.25          20
75054130884814.25          13
75648207265415.72          33
75054146227818.09          14
75054113455106.05          21
75054113455106.05          22
75054125614975.98          19
75054113455106.05          18
75648207265415.72          23
75811583804499.36          16
75054146227818.09          18
76482848216580.14          16
75648207265415.72          22
75810809291800.22          16
75054113455106.05          19
75054130884814.25          16
75054113455106.05          34
75054130884814.25          19
75648207265415.72          26
75648207265415.72          24
75054113455106.05          14
76482848216580.14          33
76482848216580.14          26
75648207265415.72          32
75054130884814.25          13
76482848216580.14          13
76482969383878.12          20
75054130884814.25          19
82477906955139.59          14
76482848216580.14          32
75054130884814.25          12
75054130884814.25          15
