# Cost-value  iter_max
17696669385281.60          39
15109505680709.40          16
15280381308484.10          48
15329764484200.77          31
17345089739673.76          29
17210548347767.81          19
15259919267029.04          28
15343877517707.95          27
15577373353430.39          27
15596399428437.95          32
15309326680496.90          26
15313955315673.58          23
15061062023404.61          28
15249922612459.47          48
18239184284639.15          33
15184784920067.41          19
17532676558214.70          20
15403603113493.27          54
15262710202720.18          64
15207436147090.86          27
19587264184112.02          27
15450305133412.45          31
17675772167090.80          18
17832684693547.95          19
15514266541092.07          39
15315478306541.28          31
15417889337845.57          21
15321642494213.45          64
15427096227721.99          18
17213152980122.83          30
15487016296394.88          24
15041758856065.30          22
15221867467835.59          41
15161630619375.80          25
17953131594094.41          14
15326943491305.41          21
17634453201699.88          31
15147248716831.95          39
17702525197107.85          27
15038309671631.56          32
17200204263019.01          36
15221678564533.86          33
15462157490469.15          21
17847748707492.18          33
18385142829304.42          37
17830060763462.66          35
17403193884680.79          34
15132480321428.28          32
15703837976436.51          18
18404971893187.55          37
17683966543852.45          21
15319484222237.93          46
18144098044811.94          17
15803655844970.99          34
15312823148468.21          44
17692403172193.60          44
17037065550258.54          21
15316338178365.13          23
15380218751461.14          20
17543710547317.38          17
17444474774323.21          22
17676572728598.52          38
15370502743999.58          14
15481684770121.13          25
15255416854218.32          29
17748882046685.27          27
15183769542142.70          56
15427365226285.98          23
15259308841746.61          33
17290516769089.23          22
15309596551397.36          33
19235530800040.73          22
15188904019773.81          40
17389639397657.57          39
15058545742078.88          31
15210825199196.99          45
17494322785370.04          49
17169656590043.70          21
15290544158894.66          38
15454030361121.46          23
17531065472494.77          25
15324858132275.94          47
18054959452705.03          17
17119247571980.64          26
15470802076021.17          25
17506117853734.32          65
17109910074973.06          29
15398854359679.97          25
15289583616810.17          22
17302033050334.30          22
17387878493879.89          18
17470399569706.80          32
17402487177095.34          34
17358247800268.38          49
15203938814772.33         100
15086557073461.24          18
15347310594359.79          36
17038713092718.92          34
17320731184686.04          29
17186462933362.39          24
