# Cost-value  iter_max
15750580975522.25          24
17881726522798.25          32
17886108806901.52          26
20332842289251.59          22
18333089162425.86          21
15865073962955.68          45
15862192286531.68          46
15793797849236.21          32
18046254592344.25          34
15904865895297.71          49
15859080623129.64          24
18047200258766.25          23
15763781518378.71          32
15684441632611.50          26
15702226726940.81          23
18006831799296.77          17
15779473250524.45          15
17665498445727.21          30
17846535521367.39          31
17758830344023.41          26
15711843618005.76          11
15900894356143.49          25
17801027239525.06          36
15826609238987.27          32
17799988976102.66          23
15740467464348.24          34
17808237463362.03          26
18272931431001.59          23
15611729107607.03          32
17778035606144.79          15
18056380740573.34          23
19913454581074.68          39
15828732736913.84          20
20335339460825.41          41
17817439839117.70          22
18139390549707.68          36
18330621694256.24          45
17802110998134.34          58
18032926318084.95          61
18316802952507.66          38
17796583299857.31          37
18524502729170.95          31
15920541446477.50          31
17524446169128.62          57
15665140267299.56          23
15736594266787.07          53
18006782829757.56          39
18223434518718.23          30
18300053385272.95          46
19925116103550.17          42
15708144325853.27          23
17904122989800.30          21
17989161244366.64          19
15716856166994.20          30
15741750445233.55          31
17592381680853.15          23
19741310092270.78          18
18046088692057.95          29
15959859232540.69          47
15662065335571.88          18
17569555081513.29          42
18629960706394.34          16
19788109782428.04          55
15705981257166.41          19
16016258030823.14          56
16109249652148.86          37
16030745001608.76          14
15861055316270.93          22
15762335471097.79          28
17725257185576.68          20
18341717034574.71          58
20720671297694.14          29
15727850659634.02          26
16105586092443.66          35
15875690570574.61          33
15994425933581.15          14
17710921513429.45          51
17798412031074.80          48
17672675888988.32          27
17804646709564.55          16
17492512937200.17          28
17485504229769.79          27
15752844448407.81          14
16008247456062.45          13
18268914863674.02          47
15683793179212.76          14
15843061060881.24          22
15790443709326.42          34
17871150297168.82          26
18007864356363.09          59
17640622935209.88          27
15811141394130.26          32
15706817494107.44          38
17731980867803.56          47
17968212533443.68          25
17869624150449.61          24
15673326240829.60          20
18462790793628.79          35
17849461382321.36          20
20349184712189.92          20
